name,location,rating
Famous Recipe,"{'address1': '158 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1A6', 'country': 'CA', 'state': 'ON', 'display_address': ['158 King Street W', 'Hamilton, ON L8P 1A6', 'Canada']}",5.0
Bon Temps,"{'address1': '61 Young Street', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8N 1V1', 'country': 'CA', 'state': 'ON', 'display_address': ['61 Young Street', 'Hamilton, ON L8N 1V1', 'Canada']}",5.0
Tomah,"{'address1': '132 Queen Street S', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 3S2', 'country': 'CA', 'state': 'ON', 'display_address': ['132 Queen Street S', 'Hamilton, ON L8P 3S2', 'Canada']}",5.0
Bronzie's Place,"{'address1': '201 James Street S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 3A8', 'country': 'CA', 'state': 'ON', 'display_address': ['201 James Street S', 'Hamilton, ON L8P 3A8', 'Canada']}",4.5
Buona Vita Pizza,"{'address1': '82 Queen Street  N', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2V4', 'country': 'CA', 'state': 'ON', 'display_address': ['82 Queen Street  N', 'Hamilton, ON L8R 2V4', 'Canada']}",4.5
The Burnt Tongue,"{'address1': '182 Locke Street S', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 4B3', 'country': 'CA', 'state': 'ON', 'display_address': ['182 Locke Street S', 'Hamilton, ON L8P 4B3', 'Canada']}",4.5
Redchurch Cafe + Gallery,"{'address1': '68 King Street E', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8N 1A6', 'country': 'CA', 'state': 'ON', 'display_address': ['68 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']}",4.5
Planted in Hamilton,"{'address1': '225 John Street S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8N 2C7', 'country': 'CA', 'state': 'ON', 'display_address': ['225 John Street S', 'Hamilton, ON L8N 2C7', 'Canada']}",4.5
Durand Coffee,"{'address1': '142 Charlton Avenue W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P', 'country': 'CA', 'state': 'ON', 'display_address': ['142 Charlton Avenue W', 'Hamilton, ON L8P', 'Canada']}",4.5
Synonym,"{'address1': '328 James Street N', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8L 1H2', 'country': 'CA', 'state': 'ON', 'display_address': ['328 James Street N', 'Hamilton, ON L8L 1H2', 'Canada']}",4.5
Amigos,"{'address1': '109 George Street', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 1E3', 'country': 'CA', 'state': 'ON', 'display_address': ['109 George Street', 'Hamilton, ON L8P 1E3', 'Canada']}",4.5
Saint James Espresso Bar & Eatery,"{'address1': '170 James Street N', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2L1', 'country': 'CA', 'state': 'ON', 'display_address': ['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']}",4.5
Homemade Noodles,"{'address1': '135 King Street E', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8N 1B2', 'country': 'CA', 'state': 'ON', 'display_address': ['135 King Street E', 'Hamilton, ON L8N 1B2', 'Canada']}",4.5
Smalls Coffee,"{'address1': '8 Cannon Street E', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8L 1Z5', 'country': 'CA', 'state': 'ON', 'display_address': ['8 Cannon Street E', 'Hamilton, ON L8L 1Z5', 'Canada']}",4.5
Berkeley North,"{'address1': '31 King William Street', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8R 1A1', 'country': 'CA', 'state': 'ON', 'display_address': ['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']}",4.5
Green Bar,"{'address1': '236 James Street N', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2L2', 'country': 'CA', 'state': 'ON', 'display_address': ['236 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']}",4.5
Pho Nhung,"{'address1': '85 Queen St N', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2V5', 'country': 'CA', 'state': 'ON', 'display_address': ['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']}",4.5
Ark and Anchor,"{'address1': '300 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1B1', 'country': 'CA', 'state': 'ON', 'display_address': ['300 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']}",4.5
Mysweetooth Bakery Cafe,"{'address1': '301 Main Street W', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1J7', 'country': 'CA', 'state': 'ON', 'display_address': ['301 Main Street W', 'Hamilton, ON L8P 1J7', 'Canada']}",4.5
Pho Lac Vien,"{'address1': '430 York Boulevard', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 3K8', 'country': 'CA', 'state': 'ON', 'display_address': ['430 York Boulevard', 'Hamilton, ON L8R 3K8', 'Canada']}",4.0
Burrito Boyz,"{'address1': '66 King Street E', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8N 1A6', 'country': 'CA', 'state': 'ON', 'display_address': ['66 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']}",4.0
Kenzo,"{'address1': '21 King Street E', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8N 1A1', 'country': 'CA', 'state': 'ON', 'display_address': ['21 King Street E', 'Hamilton, ON L8N 1A1', 'Canada']}",4.0
Lulu's Shawarma,"{'address1': '32 John Street N', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 1H3', 'country': 'CA', 'state': 'ON', 'display_address': ['32 John Street N', 'Hamilton, ON L8R 1H3', 'Canada']}",4.0
Mulberry Coffeehouse,"{'address1': '193 James Street N', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2L2', 'country': 'CA', 'state': 'ON', 'display_address': ['193 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']}",4.0
Diplomat,"{'address1': '43 King William Street', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8R 1A2', 'country': 'CA', 'state': 'ON', 'display_address': ['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']}",4.0
Born and Raised,"{'address1': '224 James Street N', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2L3', 'country': 'CA', 'state': 'ON', 'display_address': ['224 James Street N', 'Hamilton, ON L8R 2L3', 'Canada']}",4.0
La Luna,"{'address1': '306 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1B1', 'country': 'CA', 'state': 'ON', 'display_address': ['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']}",4.0
Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,"{'address1': '43 King William Street', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 1A2', 'country': 'CA', 'state': 'ON', 'display_address': ['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']}",4.0
Charred Chicken,"{'address1': '244 James Street N', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 2L2', 'country': 'CA', 'state': 'ON', 'display_address': ['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']}",4.0
Earth To Table : Bread Bar,"{'address1': '258 Locke Street S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 4B9', 'country': 'CA', 'state': 'ON', 'display_address': ['258 Locke Street S', 'Hamilton, ON L8P 4B9', 'Canada']}",4.0
The Coop,"{'address1': '274-274 King Street W', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 1J6', 'country': 'CA', 'state': 'ON', 'display_address': ['274-274 King Street W', 'Hamilton, ON L8P 1J6', 'Canada']}",4.0
Hambrgr,"{'address1': '49 King William Street', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 1A2', 'country': 'CA', 'state': 'ON', 'display_address': ['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']}",4.0
The Mule,"{'address1': '41 King William Street', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R 1A2', 'country': 'CA', 'state': 'ON', 'display_address': ['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']}",4.0
The French,"{'address1': '37 King William Street', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8R 1A1', 'country': 'CA', 'state': 'ON', 'display_address': ['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']}",4.0
The Ship,"{'address1': '23 Augusta Street', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8N 1P6', 'country': 'CA', 'state': 'ON', 'display_address': ['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']}",4.0
Moodys,"{'address1': '107 George Street', 'address2': None, 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1E3', 'country': 'CA', 'state': 'ON', 'display_address': ['107 George Street', 'Hamilton, ON L8P 1E3', 'Canada']}",4.0
Papagayo Restaurant,"{'address1': '246 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1A9', 'country': 'CA', 'state': 'ON', 'display_address': ['246 King Street W', 'Hamilton, ON L8P 1A9', 'Canada']}",4.0
August 8,"{'address1': '1 Wilson Street', 'address2': 'Suite 12', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8R', 'country': 'CA', 'state': 'ON', 'display_address': ['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']}",4.0
Bastoni's Shawarma & Grill,"{'address1': '234 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1A9', 'country': 'CA', 'state': 'ON', 'display_address': ['234 King Street W', 'Hamilton, ON L8P 1A9', 'Canada']}",4.0
The Burnt Tongue,"{'address1': '10 Cannon St E', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8L 1Z5', 'country': 'CA', 'state': 'ON', 'display_address': ['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']}",4.0
Sapporo Japanese Restaurant,"{'address1': '96 Main St E', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8N 1G3', 'country': 'CA', 'state': 'ON', 'display_address': ['96 Main St E', 'Hamilton, ON L8N 1G3', 'Canada']}",3.5
Electric Diner,"{'address1': '96 George Street', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 3M8', 'country': 'CA', 'state': 'ON', 'display_address': ['96 George Street', 'Hamilton, ON L8P 3M8', 'Canada']}",3.5
Smoke's Poutinerie,"{'address1': '112 George Street', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1E3', 'country': 'CA', 'state': 'ON', 'display_address': ['112 George Street', 'Hamilton, ON L8P 1E3', 'Canada']}",3.5
The George Hamilton,"{'address1': '152 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1A6', 'country': 'CA', 'state': 'ON', 'display_address': ['152 King Street W', 'Hamilton, ON L8P 1A6', 'Canada']}",3.5
For Real Dough,"{'address1': '256 King Street W', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 1A9', 'country': 'CA', 'state': 'ON', 'display_address': ['256 King Street W', 'Hamilton, ON L8P 1A9', 'Canada']}",3.5
Koi,"{'address1': '27 Hess St S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 3M7', 'country': 'CA', 'state': 'ON', 'display_address': ['27 Hess St S', 'Hamilton, ON L8P 3M7', 'Canada']}",3.5
The West Town Bar & Grill,"{'address1': '214 Locke Street S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 4B4', 'country': 'CA', 'state': 'ON', 'display_address': ['214 Locke Street S', 'Hamilton, ON L8P 4B4', 'Canada']}",3.5
Radius,"{'address1': '151 James Street S', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 2Z5', 'country': 'CA', 'state': 'ON', 'display_address': ['151 James Street S', 'Hamilton, ON L8P 2Z5', 'Canada']}",3.0
Meltwich,"{'address1': '236 King St W', 'address2': '', 'address3': None, 'city': 'Hamilton', 'zip_code': 'L8P 1A9', 'country': 'CA', 'state': 'ON', 'display_address': ['236 King St W', 'Hamilton, ON L8P 1A9', 'Canada']}",3.0
Vida La Pita,"{'address1': '217 King Street W', 'address2': '', 'address3': '', 'city': 'Hamilton', 'zip_code': 'L8P 1A7', 'country': 'CA', 'state': 'ON', 'display_address': ['217 King Street W', 'Hamilton, ON L8P 1A7', 'Canada']}",2.5
